,Aerosol effect,CO2 effect,Biodiv. incl. climate effect,Biogeochem. effect,Freshwater effect,Ocean acid. effect,Land-use effect,Ozone effect,Chem. effect,Food price effect,Food quantity effect,Food value effect
A_EpsA,0.00043729545302127667,0.01227277248886954,0.01669598162798991,0.08063528506443186,0.045431484723902946,0.01227277248886954,0.037875591807523534,4.0,0.0,-0.12629874429966723,0.049855132736338965,-0.03839046161443588
A_LA,0.000978229675464881,0.034282786476580576,0.03451191469603376,-0.12189334482622302,-0.05519865728412479,0.034282786476580576,0.001554330128675882,4.0,0.0,-0.2249873378437874,0.12437453478798564,-0.08390145812596894
A_MA,0.004539063118557017,0.12738959113750148,0.17330185784502072,0.8369825159661243,0.422476915734183,0.12738959113750148,0.22680482161400323,4.0,0.0,-0.8238428156163675,0.45623758604780584,-0.3063537982693927
A_P,8.879106319173808e-05,0.0025419714934325805,-0.022960996947551937,-1.3224131649104365,0.038359758221509443,0.0025419714934325805,0.02429070352506746,4.0,0.0,-0.07023242680671828,0.04243441523493022,-0.02503208530254876
A_W,8.67340629845816e-05,0.002434206472284664,0.0033115147027418246,0.015993365229932333,-0.6490772628947905,0.002434206472284664,0.007512321344105351,4.0,0.0,-0.025050347922157892,0.009888367676779428,-0.0076144416610513625
Eps_AB,-0.0022082350634873384,-0.04696001888982628,-0.021968083005718952,-0.09397280337294514,-0.045705580981205474,-0.04696001888982628,-0.04353828252190448,-2.0,-3.0,0.06986460321612832,-0.06547387114233356,0.02624151621538833
Eps_EEps,-0.027172381806675538,-0.48457694028434944,0.003570344454284502,0.01348368677571362,-0.01862975718644693,-0.48457694028434944,0.019813869850684396,-2.0,-2.0,-0.08172034065659815,0.06622062447978828,-0.015499716176809869
Eps_R,-0.002158449890113276,-0.03861545865378367,0.0009575491485613874,0.0017529085275173849,-0.0011133134117414611,-0.03861545865378367,0.0012523548059888122,-2.0,-2.0,-0.005017646580409295,0.004050744280373245,-0.0009669023000360502
Fi_EFi,-9.225546064307787e-05,-0.002577109877368759,0.004746981279002416,-0.005857252421787827,-0.0027353345723995295,-0.002577109877368759,0.0022566317846052127,-2.0,-2.0,-0.007936183264534942,0.002823001167027464,-0.0023717528636001206
Fi_MFi,0.0002391179142572407,0.002440949275858018,0.037025661105116736,-0.020442518074011345,-0.009190950639172663,0.002440949275858018,0.009909168180015554,2.0,-1.0,-0.03651157409388492,0.018386413613745347,-0.013584417721583825
P_EP,-0.0004184905781054,-0.011667220438537563,0.0020438971170211317,-0.9115441097752297,0.0018188727211571262,-0.011667220438537563,0.0019787552677555144,0.0,-1.0,-0.006880401182667515,0.002523925997665387,-0.001926317091990524
P_MP,0.0003842870885113832,0.010753901787622085,0.017454394084170932,0.2648739197677319,0.021846200146786343,0.010753901787622085,0.011705804082245613,4.0,0.0,-0.0481697808546481,0.023524213840348574,-0.01793591378459971
P_Pho,0.00012299455278574456,0.0034451339548789333,0.009205980767124089,-0.7449639584655687,0.008859634381837317,0.0034451339548789333,0.007346152962644556,4.0,0.0,-0.02952618194975481,0.009676622167216228,-0.00899217177803269
T_LT,-1.4277503371993518e-05,-0.0016077499772819558,0.03797138489994856,-0.0022154918765873574,-0.0009555996444273558,-0.0016077499772819558,0.010634743372277433,2.0,-1.0,-0.0026703626216451858,-0.00032366995322827096,-0.0015364764436579207
T_MT,9.704954258443594e-05,0.0027395727474345015,0.14250067137384637,-0.001294020325221036,-0.0006642329491034146,0.0027395727474345015,-0.01887888371115773,2.0,-1.0,0.0020591577865378755,-0.003921531160595658,-0.0018623733740577826
Y_EpsY,-0.02819371214723848,-0.503694931973736,0.0022043019590967106,0.013893250166622961,-0.019517178708773487,-0.503694931973736,-0.0033003040684437823,-2.0,-2.0,-0.051520397488587756,0.04789188577191395,-0.0036285117166738046
Y_MY,0.01974834405733201,0.46298802647840065,0.07944970035643761,0.3174657473677941,0.19932037765997956,0.46298802647840065,-0.759353631626507,4.0,0.0,-0.0005623585933141255,0.2162473395563048,0.2716400989125925
