,Aerosols,CO2,Biodiversity loss,Biogeochemicals,Freshwater use,Cultivated land
A_LA,0.0010672170921913,0.0410640837243595,0.0360626599899549,-0.0905693301147859,-0.0421280284361714,0.0094578896732033
A_EpsA,0.0002806777760281,0.0089764947888677,0.0117713908812988,0.0352637767920752,0.0185205480008895,-0.0210247311733731
A_P,0.0002034050395523,0.0065896803588494,-0.0067767591369283,-0.7402134722784176,0.0228001588425043,-0.0260269525188612
A_W,9.918532869447132e-05,0.0031720950577462,0.0041597496256096,0.012461440095563,-0.3842849415925758,-0.0074296757714614
A_MA,0.0038845259196903,0.1242329448692323,0.1629137640898226,0.4880438234670223,0.2563207881093982,-0.2909781969674122
P_EP,-0.0002402138531793,-0.007525790597789,0.0038170542693505,-0.7438123683284646,0.0015344277486948,-0.0020087592144643
P_Pho,0.0001433735326262,0.0045619899623175,0.015669995737233,-0.4765845600235129,0.0068728880594438,-0.0077624584474906
P_MP,0.0003002453601054,0.0095534809943207,0.0328152862442032,0.4801834560735596,0.0143928430343654,-0.0162557348569064
Eps_AB,-0.0006111707649527,-0.0124689919512123,-0.0020547024216721,0.0256019942951282,0.0098208304123983,0.0347027538961542
Eps_EEps,-0.0106019375823995,-0.1822291822713635,0.0064920228053044,0.030006844126706,-0.0182794175852731,-0.0239959310999975
Eps_R,-0.0013787959056453,-0.0242950654385924,0.0016203928700275,0.0065298228491019,-0.0011754369121571,-0.0016281928468621
Y_EpsY,-0.0113539481057617,-0.1968638568610303,0.0059730052700657,0.0576178611422111,-0.0079179234408182,0.0113966415800909
Y_MY,0.0079559448544724,0.2614958180324138,0.1011189801151557,0.2870281575020423,0.164055749096734,0.6538286204894809
Fi_EFi,-4.432538898446151e-05,-0.0017123705675401,0.0071705726984672,-0.002742306306756,-0.0014945870566598,-0.002632039528649
Fi_MFi,0.0001922180685916,0.0017392470741345,0.0403272989627723,-0.0180349458228918,-0.0082696760406645,-0.0145947545863661
T_LT,1.0008546572807925e-05,-0.0008635002555022,0.0599128450070707,-0.0014463897522506,-0.0005926498932396,-0.0138857956784245
T_MT,0.0001304795100968,0.0035842060759157,0.157373267059524,-0.0013742178764528,-0.0003999201062589,0.0196823390942756
